gen,nevals,avg,stddev,min,max,run,representation
8,46,-0.0102665975214756,0.0009043659047817,-0.0133335370991026,-0.0099960722717795,10,f0
9,48,-0.0101332529189333,0.0006532368687672,-0.0133335320733822,-0.0099960722717795,10,f0
10,43,-0.0101332554145286,0.0006532087390321,-0.0133333870735838,-0.0099980552738819,10,f0
11,47,-0.0102623508219797,0.0008904091573574,-0.0133336704689422,-0.0099987848178297,10,f0
12,43,-0.0101996746565997,0.0007917058696326,-0.0133336089527822,-0.009996215368305,10,f0
13,44,-0.0102659176871074,0.0009045712651164,-0.013333648445284,-0.009996215368305,10,f0
14,49,-0.010265457188702,0.0009047073711356,-0.0133335190649312,-0.009996215368305,10,f0
15,44,-0.0101983635750847,0.0007920760134825,-0.0133335825674045,-0.009996215368305,10,f0
16,49,-0.0101975819183109,0.000792219647021,-0.0133332914038601,-0.009996215368163,10,f0
17,45,-0.0102643092552558,0.0009050255719755,-0.0133335488531485,-0.0099961828884119,10,f0
18,46,-0.0102648411703102,0.0009049007076664,-0.0133336892953517,-0.0099961828884119,10,f0
19,43,-0.0101307655757352,0.0006537335075476,-0.0133335688113332,-0.0099961828884119,10,f0
20,44,-0.0104475536946845,0.0011208675607936,-0.0133337267493506,-0.0099961828884119,10,f0
21,46,-0.0101976768415835,0.0007922565184379,-0.0133336336857915,-0.0099961828884119,10,f0
22,49,-0.0101307972772331,0.0006537070114486,-0.0133335197215897,-0.0099961572905853,10,f0
23,46,-0.0102639129186641,0.0009051288516898,-0.0133334774424741,-0.0099961237341273,10,f0
24,47,-0.0103976697083323,0.001084056127191,-0.0133335598106849,-0.0099961237341273,10,f0
25,45,-0.0100639763194361,0.0004670618500044,-0.0133333890110996,-0.0099961237341273,10,f0
26,49,-0.0103311258103831,0.0010007000230393,-0.0133334539810986,-0.0099961237341273,10,f0
27,48,-0.0102648730087653,0.0009048734395329,-0.0133335931714468,-0.0099961236090781,10,f0
28,47,-0.0103307844957263,0.0010008914365829,-0.0133335881561876,-0.0099960979631531,10,f0
29,43,-0.0102640027290335,0.0009050926429671,-0.0133335219582864,-0.0099960979631531,10,f0
30,44,-0.0101975265616088,0.0007922525516103,-0.013333413918181,-0.0099960979631531,10,f0
31,47,-0.0102638455976915,0.000905185881309,-0.0133335805060019,-0.0099960979631531,10,f0
32,49,-0.0101308417500158,0.0006537661059012,-0.0133336218906499,-0.0099960972571705,10,f0
33,46,-0.0101300650230642,0.0006495581164698,-0.0133331554065546,-0.0099960972571705,10,f0
34,47,-0.0102641660124464,0.0009051041806214,-0.0133336545897222,-0.0099960722717795,10,f0
35,46,-0.0101976399860069,0.0007922092503351,-0.0133335226346173,-0.0099960722717795,10,f0
36,46,-0.0101973127168801,0.0007923308067502,-0.0133336111221688,-0.0099885780440807,10,f0
37,43,-0.0101301892093163,0.0006538858992426,-0.0133335750216818,-0.0099885780440807,10,f0
38,45,-0.0101289406734219,0.0006538296638763,-0.0133334394930272,-0.0099885752939537,10,f0
39,48,-0.0101940301541698,0.0007931621017073,-0.0133335252417031,-0.0099885752939537,10,f0
40,48,-0.0105258501277499,0.0012252749034606,-0.0133335207878023,-0.0099885752939537,10,f0
41,47,-0.0104596270759176,0.0011595266725117,-0.0133335738253271,-0.0099885752939537,10,f0
42,47,-0.0101924611861675,0.0007935595118285,-0.0133334960147088,-0.0099885752939537,10,f0
43,47,-0.0101920256771281,0.000793132047647,-0.0133334551800047,-0.0099885752939537,10,f0
44,44,-0.010392150349946,0.0010861467904743,-0.0133335476790818,-0.009975398358507,10,f0
45,45,-0.0103936504374742,0.0010855548511643,-0.0133336034655215,-0.009975398358507,10,f0
46,48,-0.0104594868178015,0.0011594715753664,-0.0133336954578599,-0.009975398358507,10,f0
47,49,-0.0103894436856496,0.0010871382213529,-0.0133335863508365,-0.009975390623988,10,f0
48,48,-0.010243814272675,0.0008797320206082,-0.0133334236011581,-0.0099621688126824,10,f0
49,49,-0.0102507322838066,0.0009090334329291,-0.0133334262087926,-0.0099621688126824,10,f0
50,44,-0.010378825045235,0.0010812859760167,-0.01333354858767,-0.0099621688126824,10,f0
51,45,-0.0101099818776353,0.0006580318881401,-0.0133331610759116,-0.0099621622423045,10,f0
52,46,-0.0102438217006652,0.0009111728861967,-0.0133335801572257,-0.0099597074975063,10,f0
53,44,-0.0102414022968581,0.0009118235120455,-0.013333651721549,-0.0099597074975063,10,f0
54,47,-0.0101721072544451,0.0007987737041265,-0.0133332591640612,-0.0099569816114517,10,f0
55,48,-0.0101705433887509,0.0007992277590243,-0.0133336118838388,-0.0099569816114517,10,f0
56,46,-0.0103076379365653,0.0010086944775008,-0.0133334870415283,-0.0099569762694095,10,f0
57,48,-0.0101751031410645,0.000798141433587,-0.0133334738535748,-0.0099569762694095,10,f0
58,47,-0.0102403419750776,0.0009122417372464,-0.0133333731201041,-0.0099545969392081,10,f0
59,44,-0.01050686374818,0.0012337230431094,-0.0133335806665383,-0.0099545969392081,10,f0
60,48,-0.010372633609361,0.0010934193924558,-0.0133334077866834,-0.0099545969392081,10,f0
61,46,-0.0102390133732458,0.0009126305985004,-0.0133334768678131,-0.0099545969392081,10,f0
62,48,-0.0099690768448723,1.887756735646191e-05,-0.0099999999999997,-0.0099545969392081,10,f0
63,45,-0.0101710395612173,0.0007991458964929,-0.0133336144612387,-0.0099543791321584,10,f0
64,48,-0.0101024665382215,0.000659765138793,-0.0133335992556364,-0.0099543791321584,10,f0
65,47,-0.0105748493006792,0.0012925764096255,-0.0133336435194345,-0.0099543791321584,10,f0
66,49,-0.0101003711280516,0.0006601337537398,-0.0133332413602535,-0.0099543791321584,10,f0
67,47,-0.0102346087238096,0.000913909981977,-0.0133333981887076,-0.0099543791321584,10,f0
68,46,-0.0102392930673769,0.0009126151301397,-0.0133336342990107,-0.0099543729883954,10,f0
69,41,-0.0102361101462764,0.0009134702715527,-0.0133333764756103,-0.0099543729883954,10,f0
70,46,-0.010237650484252,0.0009130720510836,-0.0133334654251713,-0.0099543729883954,10,f0
71,42,-0.010238160339696,0.0009129217046217,-0.0133336365152378,-0.0099543113318301,10,f0
72,44,-0.0100333228527995,0.0004717718040748,-0.0133333960197106,-0.0099543113318301,10,f0
73,47,-0.010089847559247,0.0006058093006215,-0.0133335597598377,-0.0099542922644178,10,f0
74,47,-0.0101665509431769,0.0007998947837879,-0.0133334840066393,-0.0099542262697423,10,f0
75,47,-0.0102341406360506,0.00091406546567,-0.0133335507080149,-0.0099542262697423,10,f0
76,46,-0.0103712737404584,0.001092735683468,-0.0133335004414206,-0.0099541338870653,10,f0
77,45,-0.0101652911132123,0.000800547019122,-0.0133335870071681,-0.0099541338870653,10,f0
78,44,-0.0101023577220176,0.0006597806334406,-0.0133334889769634,-0.0099541338870653,10,f0
79,48,-0.0101010030131955,0.0006600613881533,-0.0133335125672008,-0.0099541338870653,10,f0
80,48,-0.0103036168120203,0.0010100454870732,-0.0133334996688993,-0.0099541338870653,10,f0
81,45,-0.0101706014164708,0.0007992430119874,-0.0133334344148941,-0.0099541338870653,10,f0
82,41,-0.0101699612505675,0.0007994186914264,-0.0133333591520697,-0.0099541338870653,10,f0
83,47,-0.0100965287627551,0.0006104592047035,-0.0133336267448549,-0.0099541338870653,10,f0
84,47,-0.0101703534453769,0.0007993746940498,-0.0133337325697258,-0.0099541338870653,10,f0
85,49,-0.01003101141318,0.000471961561837,-0.0133329550049315,-0.0099541338870653,10,f0
86,42,-0.0102997073027983,0.001011322892446,-0.0133337901454082,-0.0099541023093759,10,f0
87,47,-0.0101692748131696,0.000799598094229,-0.0133335747204485,-0.0099541023093759,10,f0
88,45,-0.0101082844816256,0.0006586690145673,-0.013333440725904,-0.0099541023093759,10,f0
89,47,-0.0100361060271571,0.0004713962638725,-0.0133331810222801,-0.0099541023093759,10,f0
90,44,-0.0105052618976824,0.0012343377541008,-0.0133335394329807,-0.0099541023093759,10,f0
91,41,-0.01023540512257,0.0009136816233731,-0.0133335536858592,-0.0099541023093759,10,f0
92,49,-0.0102383856785827,0.0009128263050774,-0.0133334124779077,-0.0099541023093759,10,f0
93,49,-0.0101048289685528,0.000659308206887,-0.0133333255373544,-0.0099541023093759,10,f0
94,47,-0.0101014845789301,0.0006585791123047,-0.0133332409566363,-0.0099535279948888,10,f0
95,46,-0.0103016988811065,0.0010107053820181,-0.0133335538962696,-0.0099535982575894,10,f0
96,42,-0.0100336531914988,0.0004717597043797,-0.0133334459257641,-0.0099535982575894,10,f0
97,47,-0.0102390084657767,0.0009126767934224,-0.0133334956193101,-0.0099535982575894,10,f0
98,45,-0.0103031534716076,0.0010065430050984,-0.0133335818579171,-0.0099535982575894,10,f0
99,43,-0.01010201703805,0.0006596596819874,-0.0133335873732079,-0.0099535982575894,10,f0
100,49,-0.0105032653891686,0.0012352941014944,-0.0133336364189166,-0.0099535982575894,10,f0
0,50,-0.0099999999999997,0.0,-0.0099999999999997,-0.0099999999999997,2,f0
1,44,-0.0101333388064714,0.0006532240783356,-0.0133336318830896,-0.0099999999999997,2,f0
2,44,-0.0101333333653891,0.0006531974217845,-0.0133333355321817,-0.0099999999999997,2,f0
3,48,-0.0102000028035643,0.0007916339042811,-0.0133336639432131,-0.0099999999999997,2,f0
4,45,-0.0102666608655632,0.0009042909884695,-0.013333361443765,-0.0099999999999997,2,f0
5,48,-0.0101989380356027,0.0007874435907,-0.0133334803499281,-0.0099999999999997,2,f0
6,47,-0.0101333324293389,0.0006531928361275,-0.0133333439703747,-0.0099999999999997,2,f0
7,47,-0.0102000024319773,0.0007916324319354,-0.0133334104483369,-0.0099999999999997,2,f0
8,44,-0.0100666683310106,0.0004666783170764,-0.0133334165505459,-0.0099999999999997,2,f0
9,44,-0.0101999967959945,0.0007916101244739,-0.0133333835071876,-0.0099999999999997,2,f0
10,45,-0.0101333230914702,0.000653147091947,-0.0133333251198607,-0.0099999999999997,2,f0
11,47,-0.0101333343800101,0.0006532023923982,-0.0133333739818757,-0.0099999999999997,2,f0
12,45,-0.0101333319363304,0.0006532320482717,-0.0133338904543293,-0.0099995922058972,2,f0
13,48,-0.0100666023208417,0.0004666762011627,-0.0133333355756203,-0.009999586970741,2,f0
14,47,-0.0100665562824749,0.0004666698039265,-0.0133332446849721,-0.0099995863018268,2,f0
15,45,-0.0102664779941353,0.000904395182341,-0.0133335193381896,-0.0099995863018268,2,f0
16,46,-0.0103997834391387,0.0010833132911779,-0.0133336163371624,-0.0099995863018268,2,f0
17,43,-0.0101996937362282,0.0007915898157056,-0.0133335683703837,-0.0099995861547764,2,f0
18,45,-0.010266435772956,0.0009043846286995,-0.0133335641411065,-0.0099995861547764,2,f0
19,48,-0.0101996607234795,0.0007913908534874,-0.013333478075704,-0.0099995862368955,2,f0
20,44,-0.0103331043971407,0.0010001076471594,-0.013333560732824,-0.0099995860860254,2,f0
21,46,-0.010266422936484,0.0009043792860017,-0.013333519153609,-0.0099995855909598,2,f0
22,47,-0.0101990388388101,0.0007887701110983,-0.0133335585371357,-0.0099995855909598,2,f0
23,47,-0.0101997584549542,0.0007916839717103,-0.0133334628845566,-0.0099995855486556,2,f0
24,45,-0.0102663979017987,0.0009044056284833,-0.0133335241148143,-0.0099995855486556,2,f0
25,47,-0.0103997745265283,0.001083301064058,-0.0133335653579892,-0.0099995855909598,2,f0
26,50,-0.0101997766179889,0.000791648423246,-0.0133333082942195,-0.0099995855317339,2,f0
27,45,-0.010066384308128,0.0004666765935388,-0.0133331198877889,-0.0099983080665108,2,f0
28,46,-0.01006630453178,0.0004667457129842,-0.0133335232940308,-0.0099983080665108,2,f0
