company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max,year,month
Capgemini Poland,1000.0,Wrocław,C/C++,junior,7200.0,13200.0,13608.0,16632.0,2023,09
Capgemini Poland,1000.0,Gdańsk,C/C++,junior,7200.0,13200.0,13608.0,16632.0,2023,09
Clurgo,100.0,Remote,JavaScript,senior,,,20160.0,25200.0,2023,09
Clurgo,100.0,Remote,JavaScript,senior,,,23520.0,27720.0,2023,09
Clurgo,100.0,Warszawa,JavaScript,mid,,,20160.0,25200.0,2023,09
Clurgo,100.0,Warszawa,Java,mid,,,20160.0,25200.0,2023,09
HL Tech Sp. z o.o.,100.0,Warszawa,Python,mid,12000.0,16000.0,,,2023,09
HL Tech Sp. z o.o.,100.0,Gdańsk,Python,mid,12000.0,16000.0,,,2023,09
HL Tech Sp. z o.o.,100.0,Wrocław,Python,mid,12000.0,16000.0,,,2023,09
HL Tech Sp. z o.o.,100.0,Poznań,Python,mid,12000.0,16000.0,,,2023,09
HL Tech Sp. z o.o.,100.0,Kraków,Python,mid,12000.0,16000.0,,,2023,09
HL Tech Sp. z o.o.,100.0,Warszawa,Java,mid,13000.0,18500.0,,,2023,09
HL Tech Sp. z o.o.,100.0,Gdańsk,Java,mid,13000.0,18500.0,,,2023,09
HL Tech Sp. z o.o.,100.0,Wrocław,Java,mid,13000.0,18500.0,,,2023,09
HL Tech Sp. z o.o.,100.0,Poznań,Java,mid,13000.0,18500.0,,,2023,09
HL Tech Sp. z o.o.,100.0,Kraków,Java,mid,13000.0,18500.0,,,2023,09
KMD Poland,1000.0,Remote,C#,senior,,,23500.0,32000.0,2023,09
KMD Poland,1000.0,Remote,Java,senior,,,23000.0,28000.0,2023,09
KMD Poland,1000.0,Remote,C#,senior,,,21000.0,26000.0,2023,09
KMD Poland,1000.0,Remote,JavaScript,senior,,,23000.0,28000.0,2023,09
Ringier Axel Springer Tech,100.0,Warszawa,JavaScript,senior,16000.0,21700.0,18100.0,25200.0,2023,09
Ringier Axel Springer Tech,100.0,Wrocław,JavaScript,senior,16000.0,21700.0,18100.0,25200.0,2023,09
Ringier Axel Springer Tech,100.0,Kraków,JavaScript,senior,16000.0,21700.0,18100.0,25200.0,2023,09
Ringier Axel Springer Tech,100.0,Kraków,Python,mid,10100.0,16800.0,11700.0,19600.0,2023,09
Ringier Axel Springer Tech,100.0,Warszawa,Python,mid,10100.0,16800.0,11700.0,19600.0,2023,09
Ringier Axel Springer Tech,100.0,Wrocław,Python,mid,10100.0,16800.0,11700.0,19600.0,2023,09
Ringier Axel Springer Tech,100.0,Kraków,JavaScript,senior,13000.0,21700.0,15100.0,25200.0,2023,09
Ringier Axel Springer Tech,100.0,Warszawa,JavaScript,senior,13000.0,21700.0,15100.0,25200.0,2023,09
Ringier Axel Springer Tech,100.0,Wrocław,JavaScript,senior,13000.0,21700.0,15100.0,25200.0,2023,09
Ringier Axel Springer Tech,100.0,Warszawa,Python,junior,6100.0,10200.0,7200.0,12000.0,2023,09
Ringier Axel Springer Tech,100.0,Wrocław,Python,junior,6100.0,10200.0,7200.0,12000.0,2023,09
"Sperasoft, a Keywords Studio",1000.0,Remote,C/C++,mid,10000.0,18000.0,12000.0,20000.0,2023,09
"Sperasoft, a Keywords Studio",1000.0,Remote,C/C++,senior,15000.0,19000.0,18000.0,23000.0,2023,09
"Sperasoft, a Keywords Studio",1000.0,Remote,Java,expert,20000.0,27000.0,22000.0,29000.0,2023,09
"Sperasoft, a Keywords Studio",1000.0,Warszawa,C/C++,junior,8000.0,9500.0,,,2023,09
"Sperasoft, a Keywords Studio",1000.0,Kraków,C/C++,junior,8000.0,9500.0,,,2023,09
Transition Technologies PSC,1000.0,Remote,C/C++,expert,,,25000.0,30000.0,2023,09
Transition Technologies PSC,1000.0,Remote,C#,senior,16000.0,22000.0,20000.0,26000.0,2023,09
Transition Technologies PSC,1000.0,Remote,C#,expert,17500.0,24000.0,23520.0,30240.0,2023,09
Transition Technologies PSC,1000.0,Remote,C/C++,senior,,,20000.0,25000.0,2023,09
Volvo Tech Hub Poland,1000.0,Kraków,C/C++,mid,18000.0,28000.0,,,2023,09
Volvo Tech Hub Poland,1000.0,Kraków,C/C++,senior,18000.0,30000.0,,,2023,09
Volvo Tech Hub Poland,1000.0,Kraków,C/C++,expert,25000.0,30000.0,,,2023,09
Decerto,100.0,Remote,Java,mid,,,26880.0,26880.0,2023,09
Decerto,100.0,Warszawa,C#,senior,,,23520.0,26880.0,2023,09
Decerto,100.0,Warszawa,Java,mid,,,20160.0,25200.0,2023,09
Decerto,100.0,Remote,Java,senior,,,19320.0,23520.0,2023,09
Efigence,100.0,Warszawa,Java,mid,16000.0,17000.0,18000.0,19000.0,2023,09
Lingaro,1000.0,Remote,Python,expert,,,21840.0,28560.0,2023,09
Netguru,1000.0,Remote,Python,senior,,,18000.0,31500.0,2023,09
Tesco Technology,100.0,Kraków,Scala,senior,22000.0,33000.0,26000.0,40000.0,2023,09
Tesco Technology,100.0,Kraków,Python,senior,22000.0,33000.0,26000.0,40000.0,2023,09
Volvo Group,1000.0,Remote,Java,senior,15000.0,21000.0,,,2023,09
Volvo Group,1000.0,Remote,Java,senior,16000.0,22000.0,,,2023,09
"C.H. Robinson Worldwide, Inc.",10000.0,Warszawa,C#,senior,18000.0,23000.0,,,2023,09
"C.H. Robinson Worldwide, Inc.",10000.0,Wrocław,C#,senior,18000.0,23000.0,,,2023,09
"C.H. Robinson Worldwide, Inc.",10000.0,Warszawa,C#,senior,18000.0,24000.0,,,2023,09
"C.H. Robinson Worldwide, Inc.",10000.0,Wrocław,C#,senior,18000.0,24000.0,,,2023,09
Dynamic Solutions,10.0,Poznań,Java,senior,,,21840.0,30240.0,2023,09
Dynamic Solutions,10.0,Warszawa,Java,senior,,,21840.0,30240.0,2023,09
Dynamic Solutions,10.0,Poznań,Java,senior,,,21000.0,31080.0,2023,09
Dynamic Solutions,10.0,Warszawa,Java,senior,,,21000.0,31080.0,2023,09
Dynamic Solutions,10.0,Wrocław,Java,senior,,,21000.0,31080.0,2023,09
GFT Poland,1000.0,Poznań,Java,mid,10000.0,13000.0,13440.0,20160.0,2023,09
GFT Poland,1000.0,Kraków,Java,mid,10000.0,13000.0,13440.0,20160.0,2023,09
